Taxa	FactorA
1	0
3	0
5	0
6	0
7	0
8	0
10	1
11	1
12	1
13	1
14	1
15	1
16	0
17	0
18	0
19	0
20	0
21	0
22	1
23	1
24	1
25	1
26	1
27	1
28	0
29	0
30	0
31	0
32	0
33	0
34	1
36	1
37	1
38	1
39	1
40	1
41	0
42	0
43	0
44	0
45	0
46	0
47	1
49	1
50	1
51	1
52	1
53	1
54	0
55	0
56	0
57	0
58	0
59	0
60	1
61	1
62	1
63	1
64	1
65	1
66	0
67	0
68	0
69	0
71	0
72	0
73	1
74	1
75	1
76	1
77	1
78	1
80	0
81	0
82	0
83	0
84	0
85	0
86	1
87	1
88	1
89	1
90	1
91	1
92	0
93	0
94	0
95	0
96	0
97	0
98	1
99	1
100	1
101	1
102	1
103	1
104	0
105	0
106	0
107	0
108	0
109	0
110	1
111	1
113	1
114	1
115	1
116	1
117	0
118	0
119	0
120	0
121	0
122	0
123	1
124	1
125	1
126	1
127	1
129	1
130	0
131	0
132	0
133	0
134	0
135	0
136	1
137	1
138	1
139	1
140	1
141	1
142	0
143	0
144	0
145	0
146	0
148	0
149	1
150	1
151	1
152	1
153	1
154	1
155	0
156	0
157	0
158	0
159	0
160	0
161	1
162	1
163	1
164	1
165	1
166	1
167	0
168	0
169	0
170	0
173	0
174	0
175	1
176	1
177	1
178	1
179	1
180	1
181	0
182	0
183	0
184	0
185	0
186	0
187	1
188	1
189	1
190	1
191	1
192	1
193	0
194	0
195	0
197	0
198	0
199	0
200	1
201	1
202	1
203	1
204	1
205	1
206	0
207	0
208	0
209	0
210	0
211	0
212	1
213	1
214	1
215	1
216	1
217	1
218	0
219	0
220	0
221	0
222	0
223	0
224	1
225	1
226	1
227	1
228	1
229	1
230	0
231	0
232	0
233	0
234	0
235	0
236	1
237	1
238	1
239	1
240	1
241	1
242	0
243	0
244	0
245	0
246	0
247	0
248	1
249	1
250	1
251	1
252	1
253	1
254	0
255	0
256	0
257	0
258	0
259	0
260	1
262	1
263	1
264	1
265	1
266	1
267	0
268	0
269	0
270	0
271	0
272	0
273	1
274	1
275	1
276	1
277	1
278	1
279	0
280	0
281	0
282	0
283	0
284	0
285	1
286	1
287	1
288	1
290	1
291	1
292	0
293	0
294	0
295	0
296	0
297	0
298	1
299	1
300	1
301	1
302	1
303	1
304	0
305	0
306	0
307	0
308	0
309	0
310	1
311	1
312	1
313	1
314	1
315	1
316	0
317	0
318	0
319	0
320	0
321	0
322	1
323	1
324	1
